Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GradeClass
1,1,3,2,0.560939878,0.275862069,0,1,0,1,1,0,2
2,1,0,2,0.729399774,0.206896552,0,3,1,0,1,0,1
2,1,0,0,0.355200712,0.379310345,0,3,0,0,0,0,4
1,1,0,0,0.613335705,0.137931034,0,2,0,0,0,0,2
2,0,0,4,0.585995393,0.586206897,0,0,0,0,1,0,4
0,0,0,1,0.548192669,0.103448276,0,4,0,0,0,0,2
0,0,1,2,0.641166607,0.034482759,0,2,0,1,0,0,2
2,1,2,0,0.259694506,0.068965517,1,3,0,0,0,0,1
2,0,1,2,0.084693165,0.862068966,0,3,0,0,0,0,4
1,0,0,3,0.119355881,0.379310345,1,2,0,0,0,0,3
0,1,2,2,0.224787641,0.068965517,1,3,1,1,0,0,1
2,1,1,1,0.500719999,0.103448276,0,4,0,1,0,0,1
0,1,0,2,0.841355907,0.172413793,0,2,0,0,1,0,1
1,0,1,2,0.702046554,0.379310345,0,2,0,0,0,0,4
2,0,0,2,0.789894677,0.620689655,0,4,1,0,0,0,3
0,1,0,3,0.351326164,0.310344828,0,1,1,0,0,1,3
0,1,3,2,0.405065982,1.0,1,0,0,0,0,0,4
0,0,0,3,0.394081515,0.0,1,4,0,0,1,0,1
1,0,0,2,0.192040845,0.551724138,0,3,1,0,1,0,4
1,1,2,1,0.061234136,0.517241379,0,4,1,1,0,1,4
0,1,2,1,0.591542432,0.275862069,0,0,0,0,0,0,3
0,0,0,1,0.990300848,0.827586207,1,1,0,1,0,0,4
1,1,0,3,0.166968579,0.689655172,1,1,0,0,0,0,4
1,0,0,2,0.046685594,0.275862069,1,3,1,0,0,1,3
2,0,1,2,0.780374824,0.896551724,0,3,0,0,0,0,4
2,0,0,1,0.252823453,0.75862069,0,2,0,0,1,0,4
0,0,0,1,0.830544549,0.275862069,0,0,0,0,0,0,3
2,1,3,2,0.704692917,0.379310345,0,3,0,0,0,1,3
0,1,1,2,0.946707651,0.75862069,1,2,1,0,0,0,4
2,0,0,1,0.409344388,0.275862069,1,1,1,0,0,0,3
2,0,1,2,0.662677851,0.482758621,0,4,0,1,0,0,2
0,0,1,0,0.465336219,0.034482759,0,1,1,0,0,0,2
0,0,0,1,0.631260638,0.344827586,0,3,0,0,1,0,3
0,0,0,2,0.450062808,0.344827586,1,3,1,0,0,0,2
2,1,2,1,0.188796182,0.24137931,0,2,1,1,0,1,2
0,1,0,4,0.508428329,0.75862069,0,1,1,0,0,0,4
2,1,1,1,0.529138893,0.172413793,0,2,1,0,0,1,2
0,1,0,1,0.811482707,0.689655172,0,3,0,0,0,0,4
0,0,0,1,0.73631326,0.655172414,1,1,1,0,0,0,4
2,0,0,2,0.664501729,0.206896552,0,3,0,0,0,0,2
1,0,0,2,0.11346454,0.068965517,0,4,0,0,0,0,2
1,0,0,2,0.721391713,0.24137931,0,4,0,0,1,0,2
0,0,0,0,0.500827343,0.586206897,0,2,0,0,0,0,4
0,1,2,0,0.895074368,0.551724138,0,3,1,0,0,1,4
1,0,3,2,0.920875389,0.344827586,0,4,0,0,0,0,3
1,1,2,3,0.055167103,0.034482759,0,2,1,0,0,0,2
2,1,2,3,0.821531957,0.827586207,1,1,1,0,0,0,4
2,1,0,0,0.037687834,0.689655172,0,1,1,1,0,0,4
1,1,3,2,0.36753878,0.896551724,0,1,0,0,0,0,4
2,0,0,3,0.542870433,0.793103448,0,3,0,0,1,0,4
2,1,3,1,0.148218145,0.620689655,0,2,0,0,0,0,4
0,1,3,3,0.747118773,0.206896552,0,3,0,0,0,0,2
2,1,2,1,0.00831142,0.586206897,1,3,1,0,0,1,4
0,0,3,3,0.168739956,0.24137931,0,3,1,1,0,0,1
2,0,1,2,0.581411537,0.448275862,0,3,0,0,0,1,3
2,0,0,3,0.715155825,0.206896552,0,0,1,0,1,0,1
1,1,0,2,0.917643848,0.931034483,0,3,0,1,0,0,4
0,1,1,1,0.706254695,0.689655172,0,2,0,0,0,0,4
2,0,0,3,0.672498557,0.931034483,0,2,0,1,0,0,4
2,1,1,1,0.394741533,0.896551724,0,0,0,0,0,0,4
0,0,3,1,0.001233014,0.103448276,0,4,1,0,0,0,2
2,0,0,2,0.120244488,0.551724138,0,4,1,0,0,0,3
